,title,word count,l1,l2,l3,l4,l5,l6,l7,l8
https://colorcodedlyrics.com/miss-what-i-like-about-your-body-mominji-maminji,몸인지 맘인지,575,0.140869565,0.208695652,0.297391304,0.335652174,0.354782609,0.410434783,0.417391304,0.436521739
https://colorcodedlyrics.com/miss_a_-_lips_cc_lyrics,Lips,238,0.075630252,0.147058824,0.256302521,0.281512605,0.344537815,0.390756303,0.43697479,0.449579832
https://colorcodedlyrics.com/miss_a_-_no_mercy_cc_lyrics,No Mercy,201,0.124378109,0.154228856,0.258706468,0.348258706,0.358208955,0.393034826,0.407960199,0.437810945
https://colorcodedlyrics.com/miss_a_-_rock_n_rule_cc_lyrics,Rock n Rule,121,0.099173554,0.280991736,0.380165289,0.404958678,0.41322314,0.446280992,0.446280992,0.462809917
https://colorcodedlyrics.com/miss_a_2pm_-_touch_korea_tour_cc_lyrics,Touch Korea Tour,135,0.155555556,0.274074074,0.303703704,0.37037037,0.4,0.42962963,0.437037037,0.444444444
https://colorcodedlyrics.com/miss_a_misseu_ei_-_help_me,Help Me,248,0.120967742,0.189516129,0.237903226,0.310483871,0.314516129,0.39516129,0.407258065,0.423387097
https://colorcodedlyrics.com/miss_a_misseu_ei_-_step_up,Step Up,176,0.073863636,0.142045455,0.176136364,0.193181818,0.272727273,0.323863636,0.340909091,0.340909091
https://colorcodedlyrics.com/miss_a_misseu_ei_-_touch,Touch,225,0.128888889,0.177777778,0.257777778,0.293333333,0.324444444,0.395555556,0.413333333,0.417777778
https://colorcodedlyrics.com/miss_a_misseu_ei_looking_at_each_other_ddag_majuchyeo,딱 마주쳐,320,0.13125,0.190625,0.21875,0.234375,0.25,0.290625,0.296875,0.296875
https://colorcodedlyrics.com/mixnine-9reat-stand,STAND BY ME,306,0.160130719,0.241830065,0.27124183,0.307189542,0.333333333,0.366013072,0.388888889,0.395424837
